caseNumber,id,name,status,caseType,year,age,gender,city,county,state,dateAdded,lastVerified,sourceCount,caseUrl,summary
048,john-henry-james,John Henry James,unsolved,homicide,1898,,male,Charlottesville,Albemarle,VA,2026-08-21,2026-08-21,4,https://www.unsolvedblackcases.com/cases/john-henry-james.html,"John Henry James was lynched at Wood's Crossing outside Charlottesville on July 12, 1898, the day after Julia Hotopp, a white woman, reported being assaulted near her family's estate. James was arrested the same day and, given fears for his safety, was being transported by train toward a jail in Staunton when a mob of about 150 people stopped the train and seized him. He was hanged from a locust tree and his body was shot repeatedly. A coroner's jury found only that James “came to his death by the hands of persons unknown.” A grand jury then took the unusual step of posthumously indicting the dead man for the assault, a charge he was never able to answer in life. That indictment stood on the books for 125 years until Albemarle County's prosecutor asked a circuit court to dismiss it; a judge did so on July 12, 2023, the anniversary of James's death. In 2019, Charlottesville-area residents collected soil from the lynching site as part of the Equal Justice Initiative's national memorial project."
049,james-t-scott,James T. Scott,unresolved,homicide,1923,,male,Columbia,Boone,MO,2026-08-21,2026-08-21,4,https://www.unsolvedblackcases.com/cases/james-t-scott.html,"James T. Scott, a World War I veteran, firefighter, and janitor at the University of Missouri, was lynched from Stewart Bridge in Columbia in the early hours of April 29, 1923, in front of more than a thousand onlookers. He had been arrested a week earlier after Regina Almstedt, the 14-year-old daughter of a university professor, identified him as the man who assaulted her on the same bridge, though two white coworkers were prepared to testify that Scott had been working alongside them at the time of the attack. A mob used a blowtorch to break into his jail cell while police and county officials looked on without intervening by force, then hanged him. The night he died, Scott named his cellmate, Ollie Watson, as the actual attacker; bloodhounds had independently tracked a scent from the crime scene to where Watson normally parked, and Watson was separately found to have raped another girl the week before the Almstedt assault. A grand jury indicted five men suspected of leading the mob, but only one, George Barkwell, was tried; despite eyewitness testimony from two student journalists that they saw him push Scott from the bridge, a jury acquitted Barkwell after eleven minutes of deliberation, and charges against the other four men were dropped the same day."
050,george-tompkins,George Tompkins,unsolved,homicide,1922,19,male,Indianapolis,Marion,IN,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/george-tompkins.html,"George Tompkins, 19, left his aunt and uncle's Indianapolis home on the morning of March 16, 1922, and never returned; his body was found that afternoon hanging from a sapling in what is now Riverside Park, his hands tied behind his back. Marion County Coroner Dr. Paul Robinson examined the body and told reporters at the time that “there could be no question that the man had been murdered and his body then tied to the tree,” and that Tompkins was “dead or almost dead when he was hanged.” Despite this, and despite initial police reports treating the death as a lynching, detectives reversed course two days later; the word “homicide” on the death certificate was crossed out in pencil and “suicide” written in its place, and no further investigation followed. Tompkins had never been accused of any crime, and no motive for his killing was ever established. He was buried in an unmarked grave. In March 2022, a century after his death, the Indiana Remembrance Coalition petitioned Marion County to review the case; Deputy Chief Coroner Alfie McGinty formally corrected Tompkins's manner of death to homicide, and a historical marker was later placed at the site where his body was found."
051,george-white,George White,unsolved,homicide,1903,24,male,Wilmington,New Castle,DE,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/george-white.html,"George White, 24, a Black farm laborer, was arrested June 16, 1903 and accused of killing Helen Bishop, a white woman, near Wilmington. He denied any involvement and was held at the New Castle County Workhouse to await a September trial. Two lynch mobs attempted to abduct him from the workhouse within a week of his arrest, and on June 21 a local white pastor, Robert Elwood, urged a crowd to carry out swift vengeance rather than wait for the courts. The following night, a mob of thousands stormed the workhouse and seized White; he was taken to Price's Corner, tied to a stake, and burned to death on June 23 in front of a crowd variously estimated at several hundred to several thousand people, some of whom took pieces of his remains afterward. No one was ever convicted. It is generally regarded as the only documented lynching in Delaware's history. A state historical marker was dedicated at the site in 2019 after a local high school student's research prompted the Delaware Public Archives to install it; the marker was stolen that August and replaced two months later."
052,preston-porter-jr,Preston Porter Jr.,unsolved,homicide,1900,15,male,Limon,Lincoln,CO,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/preston-porter-jr.html,"Preston Porter Jr., 15, was burned to death by a mob near Limon on November 16, 1900. Porter, his father, and his brother had come to Colorado from Kansas earlier that year for railroad work; after an 11-year-old white girl, Louise Frost, was found murdered near Limon on November 8, the three were stopped and arrested on suspicion while passing through Denver, despite no evidence connecting them to the crime. Held for four days under coercive interrogation, Porter confessed after being told his father and brother would likely be lynched if he did not. As he was being transported by train toward the county jail, an armed mob stopped the train at Limon — which was not a scheduled stop — and removed him over the protests of the deputy escorting him. Several hundred spectators, some arriving by train from Denver and Colorado Springs, gathered to watch as the mob chained Porter to a railroad stake and burned him alive. A coroner's inquest concluded he died “at the hands of parties unknown,” despite extensive newspaper coverage that identified mob participants by name. No one was ever charged."
053,samuel-johnson,Samuel Johnson (“Mingo Jack”),unsolved,homicide,1886,66,male,Eatontown,Monmouth,NJ,2026-08-21,2026-08-21,4,https://www.unsolvedblackcases.com/cases/samuel-johnson.html,"Samuel Johnson, 66, a former slave known locally as “Mingo Jack” for his years as a jockey, was lynched in Eatontown on the night of March 5, 1886, hours after being arrested on a rape accusation. Constable Hermann Liebenthal arrested Johnson at his home that afternoon, then told people around town he wouldn't be surprised if Johnson were lynched before morning, and went home to sleep. That night, a mob of as many as 75 men broke into the jail, beat Johnson severely, and lynched him; a medical examiner concluded he had likely died from the beating before the hanging itself. At the coroner's inquest, ninety witnesses testified, and the prosecutor, James Steen, pursued the case despite being threatened with death — eliciting testimony suggesting Johnson probably was not the rapist at all, since witnesses placed him elsewhere and the accuser's description of the attacker's clothing didn't match his. Six men were eventually arrested in connection with the lynching; all were released on bail and never prosecuted. Two later confessions to the underlying rape, given years apart by different men, left the identity of the actual attacker unresolved. Johnson's killing is described as the first lynching in New Jersey since the Revolutionary War. A historical marker was dedicated at the site in 2022."
054,jeffery-zolliecoffer,Jeffery “Jo Jo” Zolliecoffer,unsolved,homicide,1989,23,male,Waterloo,Black Hawk,IA,2026-08-21,2026-08-21,6,https://www.unsolvedblackcases.com/cases/jeffery-zolliecoffer.html,"Jeffery “Jo Jo” Howard Zolliecoffer, 23, was last seen alive late on the evening of September 7, 1989, at Goodies II, a bar formerly on Sumner Street in Waterloo; witnesses gave conflicting accounts of whether he left on his own or was forced out by several men. He was reported missing on September 9. On September 15, a child playing along the Cedar River discovered his body, wrapped in a quilted blanket, bound with copper wiring, and weighted down with two cement blocks; police believe it took several days for the body to rise to the surface. An autopsy found Zolliecoffer had been shot three times, including a fatal shotgun blast to the back of the head. Investigators have pursued numerous leads over the years without making an arrest; Zolliecoffer's family has been divided over the motive, with some believing it was drug-related and others insisting he was firmly against drug use. A $1,500 reward remains active through Cedar Valley Crime Stoppers."
055,darrion-carrington,Darrion “Pritz” Carrington,unsolved,homicide,2008,18,male,Boston,Suffolk,MA,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/darrion-carrington.html,"Darrion “Pritz” Carrington, 18, was shot multiple times at close range inside the lobby of the Canton House, a fast-food Chinese restaurant on Dorchester Avenue, around 11:40 p.m. on January 7, 2008, while he waited for a late-night order and talked to a friend on his cellphone. He was rushed to Boston Medical Center and died of his wounds the next day. Carrington, raised at St. John's Missionary Baptist Church and a regular at the Roxbury Boys and Girls Club, had dreamed of playing basketball professionally. The Boston Police Department still lists his death among the city's unsolved 2008 homicides; no arrest has ever been made. His mother, Natasha Carrington, has since become an advocate for other families of unsolved homicide victims through the Louis D. Brown Peace Institute. A 2025 analysis by WBUR found that families of Black and Hispanic unsolved homicide victims in Massachusetts are more likely than others to be denied basic case updates by prosecutors citing open-investigation exemptions, even years after a case has gone cold."
056,carol-jenkins,Carol Jenkins,unsolved,homicide,1968,21,female,Martinsville,Morgan,IN,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/carol-jenkins.html,"Carol Jenkins, 21, an aspiring fashion model, was stabbed once through the heart with a screwdriver on East Morgan Street in Martinsville on the night of September 16, 1968, while selling encyclopedias door to door. Jenkins had reported being followed and harassed by two white men in a car and sought help at a stranger's home; police searched but could not find the vehicle, and Jenkins, not wanting to further inconvenience the family who had taken her in, continued on her route. The men returned roughly half an hour later; one held her while the other stabbed her. The killing, in a town with a longstanding reputation as a “sundown town,” went unsolved for more than three decades. In 2002, an anonymous letter to police named Kenneth Clay Richmond as the killer; his daughter, seven years old at the time of the murder, confirmed she had witnessed her father stab Jenkins from the back seat of the family car while a second, still-unidentified man held her down, and that her father had paid her seven dollars never to speak of it. Richmond was arrested and charged with murder in 2002, but was found incompetent to stand trial due to cognitive decline; he died of cancer later that year, maintaining his innocence to the end. The second man was never identified."
057,john-wesley-wilder,John Wesley Wilder,unsolved,homicide,1965,32,male,Ruston,Lincoln,LA,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/john-wesley-wilder.html,"John Wesley Wilder, 32, was shot five times and killed by Ruston Police Officer Edward Nugent outside a cafe on Jones Street around 2 a.m. on July 17, 1965. Nugent said he stopped to question Wilder and another Black man, Billy Williams, after hearing shouting from the group; when Wilder allegedly refused to give his name and a struggle followed, Nugent drew his pistol and fired. The Ruston Police Department said Wilder had attacked Nugent while resisting arrest, and a coroner's inquest — which the coroner said was based on interviews with unidentified officers and three Black witnesses — ruled the shooting justifiable self-defense; no charges were ever filed. Wilder's brother Emzie disputed the official account, saying witnesses described only about 15 bystanders present, far fewer than police suggested, and warned he would seek help from the NAACP and CORE if Ruston authorities failed to act. A 1965 civil suit by Wilder's family did not succeed. The FBI reopened the case in 2008 under the Emmett Till Act; after three years, during which the Bureau was unable to locate some potential witnesses and others could not recall the incident, the case was closed again in 2011 without further action."
058,clinton-melton,Clinton Melton,unresolved,homicide,1955,33,male,Glendora,Tallahatchie,MS,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/clinton-melton.html,"Clinton Melton, 33, a gas station attendant and father of four, was shot and killed at the station where he worked in Glendora on December 3, 1955 — four months after Emmett Till was murdered twenty miles away, and in the same county. Melton had argued with a white customer, Elmer Otis Kimbell, over how much gas Kimbell had been pumped; a witness said Kimbell announced he was going home to get a shotgun and would return to kill Melton. The station owner told Melton to leave before Kimbell came back, but Kimbell returned first and shot Melton, who was unarmed and sitting in his own car, in the hand and head. Kimbell, who was using the car of his close friend J.W. Milam — one of the two men who had killed Till and been acquitted weeks earlier in the same courthouse — was tried for murder before another all-white Tallahatchie County jury and acquitted, despite the testimony of witnesses who saw the shooting and a doctor whose exam of Kimbell's own wound cast doubt on his self-defense claim. Less than three weeks after the shooting and just before the trial, Melton's widow Beulah drowned when her car went into Black Bayou with two of their children in the back seat; a family member said everyone in the community believed her car had been forced off the road. The DOJ's Civil Rights Division reviewed the case decades later and closed it, since Kimbell, by then deceased, had already stood trial and been acquitted at the state level."
059,alonzo-tucker,Alonzo Tucker,unsolved,homicide,1902,28,male,Coos Bay,Coos,OR,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/alonzo-tucker.html,"Alonzo Tucker, 28, a married boxer who ran a small gym called the School of Physical Culture and also worked as a boot black and mail carrier, was lynched in Marshfield (now Coos Bay) on September 18, 1902, the day after a white woman accused him of assaulting her near the 7th Street bridge. Tucker was arrested without resistance that evening, but as word spread, an armed mob of as many as 200 men formed. While being moved to keep him from the mob, Tucker escaped and spent the night hiding under the town's docks. He was found the next day and shot; the mob then put a noose around his neck and began dragging him toward the site of the alleged assault, but he died of his wounds along the way. His body was hanged from a light pole on the bridge in broad daylight before roughly 300 spectators, none of them masked. Local newspapers described the mob approvingly and no one was ever indicted; Coos Bay's small Black community largely fled the area afterward out of fear. In 1974, a local newspaper reporter located and interviewed three elderly men who had witnessed the lynching as boys; all three said they believed Tucker's relationship with his accuser had actually been consensual. It remains the only documented lynching of a Black person in Oregon's history. A historical marker was dedicated at the site in 2021 following a multi-year memorialization effort."
060,timothy-pettis,Timothy Pettis,unsolved,homicide,1924,,male,Coos Bay,Coos,OR,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/timothy-pettis.html,"Timothy Pettis, a Black resident of Marshfield (now Coos Bay) and a veteran of the all-Black 24th Infantry Regiment, was murdered and castrated in July 1924; his body was left in the waters of Coos Bay, the same body of water where Alonzo Tucker had been lynched twenty-two years earlier. Black community members in Marshfield and Portland, along with members of the NAACP, believed the Ku Klux Klan was responsible and offered rewards for information; the Portland NAACP publicly declared that “Marshfield is infested with the Ku Klux Klan.” Oregon is believed to have had the highest per-capita Klan membership of any state in the country during the 1920s, with the organization's influence reaching into city, county, and state government and law enforcement. No one was ever charged in Pettis's killing."
061,william-harvey,William “Sam Joe” Harvey,unsolved,homicide,1883,35,male,Salt Lake City,Salt Lake,UT,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/william-harvey.html,"William “Sam Joe” Harvey, about 35, an Army veteran who had recently arrived in Salt Lake City seeking work and set up a bootblack stand downtown, was lynched by a mob of up to 2,000 people on August 25, 1883, hours after his arrest. Harvey had argued with the owner of a restaurant over a job offer; when police arrived to investigate, Harvey reportedly fired a gun, killing Police Chief Andrew H. Burt and wounding another official. Officers took Harvey into custody and beat him severely at police headquarters — striking him, kicking him, and beating him with billy clubs, brass knuckles, and shackles — before a growing mob outside began chanting for him to be handed over. The Salt Lake Tribune itself reported at the time that police “gave up their victim to the crowd, which proceeded to hang him.” The mob beat Harvey further, hanged him from a shed's roof-beam near the jail, and when he tried to hold onto the rope to avoid strangling, a mob member kicked his hands loose. After he died, the mob cut down his body and dragged it through the streets until the mayor personally intervened and broke up the crowd. A coroner's jury convened that same afternoon and, despite the public, unmasked lynching, ruled that Harvey died “by means of hanging with a rope by an infuriated mob whose names were to the jury unknown.” No one was ever charged, including the officers who turned him over."
062,thomas-coleman,Thomas Coleman,unsolved,homicide,1866,34,male,Salt Lake City,Salt Lake,UT,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/thomas-coleman.html,"Thomas Coleman, about 34, a formerly enslaved man who worked as an attendant at The Salt Lake House hotel, was murdered on the night of December 10, 1866, on a hill overlooking the city that is now the site of the Utah State Capitol; his body, bludgeoned with a large rock and cut across the throat, was found the next morning near the U.S. Arsenal. A local newspaper reported Coleman had been “found in company of a white woman” and speculated he was killed in revenge by a rival for her affection, framing the murder as retribution for crossing racial lines. A sign left on his body was cited by the Daily Union Vedette, a newspaper run by soldiers at nearby Fort Douglas, as evidence the killing had been planned in advance; the Vedette openly criticized the official investigation as inadequate. A coroner's jury nonetheless concluded that “said murder to the jury are unknown,” and no one was ever held accountable. Despite being a member of the church that had once enslaved him, Coleman was buried in a pauper's field rather than a standard cemetery plot. In 2022, the University of Utah, the Sema Hadithi African American Heritage and Culture Foundation, and the Equal Justice Initiative held a joint soil-collection ceremony at Coleman's murder site and at the site where William “Sam Joe” Harvey was lynched seventeen years later in the same city, memorializing both men together."
063,leonard-mccowin,Leonard McCowin,unsolved,homicide,1947,21,male,Center,Shelby,TX,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/leonard-mccowin.html,"Leonard McCowin, 21, a World War II Army veteran who worked on a farm and at a cafe in Center, was struck with the butt of a rifle by City Marshal Bryan McCallum on November 4, 1947, and died of the injury; his death certificate recorded the cause as homicide. A contemporaneous Black newspaper reported that McCallum had likely mistaken McCowin for his brother, who had recently been beaten by a mob following an altercation with a white man. The Shelby County sheriff required only a $2,500 bond from McCallum, and a grand jury investigated but declined to indict him; an attorney representing McCowin's family reported to the NAACP that jurors felt indicting McCallum “would give the Negroes too much leeway in that community.” The FBI declined to investigate. In April 1948, McCowin's father Ezekiel, represented by attorney W.N. Harkness with NAACP support, filed a wrongful death civil suit against McCallum, his bondsman, and the city; a district court judge dismissed the case that November, reportedly due to a misspelling of McCallum's name in the court filing. McCowin's descendants have since sought a historical marker at the site; his sister, who was 12 when his body was brought home, was still alive as of a 2025 news account."
064,felix-hall,Felix Hall,unsolved,homicide,1941,19,male,Fort Benning,Chattahoochee,GA,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/felix-hall.html,"Pvt. Felix Hall, 19, a Black soldier from rural Alabama serving in the segregated 24th Infantry Regiment, disappeared at Fort Benning on the afternoon of February 12, 1941, after finishing a shift at the base sawmill and telling two friends he was heading to the Post Exchange — the only place on the segregated base where a Black soldier could get a hot meal. He never arrived. Six weeks later, an engineer unit found his body hanging from a tree in a ravine near the Chattahoochee River, his hands tied behind his back and his feet bound with baling wire. A military doctor ruled the death a homicide, but for four months the War Department and base authorities publicly suggested to the press that Hall may have died by suicide, contradicting their own examiner's finding, until the NAACP demanded a real investigation. The FBI and War Department identified suspects, including two military men, but never charged anyone, and appear to have ignored a report that Hall's white civilian supervisor at the sawmill had threatened to kill him the day before he disappeared. It remains the only known lynching to have occurred on a U.S. military base. The case went cold until 2014, when Northeastern University students began investigating it, leading to a 2016 Washington Post exposé built on a previously undisclosed 130-page FBI file. In 2021, the Army dedicated a memorial plaque at Fort Benning; the plaque itself states that Hall's death was among the events that helped convince President Truman to order the full integration of the U.S. armed forces in 1948."
065,dan-carter-sanders,Dan Carter Sanders,unsolved,homicide,1946,26,male,Cleveland Township,Johnston,NC,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/dan-carter-sanders.html,"Dan Carter Sanders, 26, a married World War II veteran, was shot and killed on November 18, 1946, after a group of white men in Cleveland Township accused him and another man of stealing foxhounds from a local farm. The DOJ's file identifies the shooter as Robert “Bobby” H. Johnson Jr., who was 16 years old at the time, and names his father, Robert H. Johnson Sr., along with three other men present, Russell Hatcher, Lester Phillips, and R.H. Stephenson, as subjects. No federal hate-crime law existed in 1946, and the statute of limitations on any potential criminal case had long since expired by the time the DOJ reviewed the case decades later; the Department also declined to refer the matter to North Carolina for state prosecution, citing the lack of any living subjects or likely surviving witnesses. All five men named in the file were deceased by the time it was closed on March 5, 2019."
066,charles-brown,Charles Brown,unsolved,homicide,1957,20,male,Benton,Yazoo,MS,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/charles-brown.html,"Charles Brown, 20, a Black U.S. Air Force airman home on a month-long leave, was fatally shot in the heart at close range on June 18, 1957, while sitting at the dinner table of a neighboring family in Benton. He had accepted a dinner invitation from a white woman he had long known; her brother, 50-year-old farmer Raiford Walton, left the house, returned with a shotgun, and shot Brown, later telling investigators he believed Brown had gotten “too friendly” with his sister while he was out of town. Walton, who had a prior manslaughter conviction for killing his own son-in-law, called the police himself after the shooting and admitted to it; murder charges were filed, but a local grand jury declined to indict him. When the FBI reopened the case decades later under the Emmett Till Act, one witness alleged Walton had actually planned the killing in advance, luring Brown to the house after catching him “in some action” beforehand — though this could not be independently corroborated. Walton died in 1965, and the case was formally closed in 2010."
067,willie-countryman,Willie Countryman,unsolved,homicide,1958,32,male,Dawson,Terrell,GA,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/willie-countryman.html,"Willie “Wootie” Countryman, 32, a Black Army veteran and truck driver, was shot and killed in his own backyard in Dawson just after 1:30 a.m. on May 25, 1958. Dawson Police officers Weyman Cherry and Robert Hancock said they had entered Countryman's yard to investigate a noise, and claimed Countryman attacked Cherry with a knife; Cherry shot him in the stomach, and he died at the hospital. Countryman's girlfriend, who had been talking with him moments before, and other family and friends disputed the officers' account at every point. A coroner's inquest the next day acquitted Cherry, ruling he had acted in self-defense. It was Cherry's second fatal or near-fatal use of force against a Black resident within a matter of weeks — he had fatally beaten another Black man, James Brazier, about a month earlier, and would go on to serve as Dawson's police chief for a decade afterward. Terrified Black residents organized under the name “Law, Justice, Order” and sent an urgent plea for outside help, writing, “We can't hold these people much longer.” The FBI investigated but found no living subjects by the time of a later federal review, and the case was formally closed in 2009."
068,donald-raspberry,Donald Raspberry,unsolved,homicide,1965,19,male,Okolona,Chickasaw,MS,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/donald-raspberry.html,"Donald Raspberry, 19, was shot and killed inside the home of his employer, Garland H. “Dick” Anderson, in Okolona on February 27, 1965. Anderson said he had come to suspect someone was breaking into his house and stayed home that day to catch the thief; he claimed that when Raspberry removed a window screen and entered, he shot him in self-defense. Anderson was the only known witness to the shooting. He was charged by the state, and at a preliminary hearing in Chickasaw County Justice Court a week later, he maintained his self-defense account. No further prosecution followed. The DOJ's Civil Rights Division reviewed the case decades later and closed it in 2010 after determining Anderson had since died."
069,william-henry-lee,William Henry Lee,unsolved,homicide,1965,,male,Goshen Springs,Rankin,MS,2026-08-21,2026-08-21,4,https://www.unsolvedblackcases.com/cases/william-henry-lee.html,"William Henry Lee was last seen leaving his job at the Storkline Factory in Jackson at 11:30 p.m. on February 24, 1965, during a night of rain and snow, on his way home to Goshen Springs roughly an hour away. He never arrived; his body was found beside a road the following afternoon, fully clothed with only a small amount of blood on his lip and no other visible injury. A flashlight matching one Lee normally kept in his car was found nearby. The Rankin County Sheriff's Department moved his car before it could be examined for evidence, and his body was embalmed after only a 15-minute coroner's inquest, before any autopsy could be performed. A civil rights organization later complained that a second autopsy, conducted after embalming, listed the cause of death as strangulation, likely from inhaling gasoline — a finding that conflicted with the original examiner's report of no visible injury. The complaint also noted that Lee had attended civil rights meetings. Neither the original local investigation nor a later FBI inquiry found evidence of a civil rights violation, and the case was closed without identifying a suspect."
070,ed-smith,Ed Smith,unsolved,homicide,1958,,male,State Line,Wayne,MS,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/ed-smith.html,"Ed Smith was fatally shot in the chest in the front yard of his own home in State Line on April 27, 1958, by his neighbor, Lawrence David Clark. Smith's wife, Daisy Bell Smith, witnessed the shooting. The NAACP's Medgar Evers personally urged prosecution. Clark was arrested, and at a preliminary hearing was released on a $5,000 bond pending a grand jury hearing. Two weeks later, a local grand jury declined to indict him. According to contemporaneous news reports, Clark later bragged openly about the shooting. He died in 1992, decades before the DOJ formally closed the file in 2009."
071,lamar-smith,Lamar Smith,unsolved,homicide,1955,63,male,Brookhaven,Lincoln,MS,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/lamar-smith.html,"Lamar “Ditney” Smith, 63, a World War I veteran, farmer, and voter registration organizer with the Regional Council of Negro Leadership, was shot to death on the lawn of the Lincoln County courthouse in Brookhaven at around 10 a.m. on August 13, 1955, while helping other Black residents complete absentee ballots ahead of a runoff election. He was killed in broad daylight before dozens of witnesses, including the local sheriff, who watched a blood-covered white man walk away from the scene without arresting him; it took eight days before three white men — Noah Smith, Mack Smith, and Charles Falvey — were arrested. A state grand jury heard from as many as 75 witnesses in September 1955 but adjourned without returning any indictment, after witnesses who had stood within 30 feet of the killing told the panel they had seen nothing. Decades later, an FBI interview suggested Smith may have been deliberately lured to the courthouse. Smith's killing was cited in the NAACP's own 1955 pamphlet documenting racial violence in Mississippi, alongside the killings of Rev. George Lee and Emmett Till. The Mississippi Department of Archives and History approved a historical marker for Smith in 2026."
072,joseph-dumas,Joseph Dumas,unresolved,homicide,1962,19,male,Perry,Taylor,FL,2026-08-21,2026-08-21,4,https://www.unsolvedblackcases.com/cases/joseph-dumas.html,"Joseph Dumas, 19, was fatally shot by Taylor County Constable Henry Sauls during a traffic stop on May 5, 1962. Dumas's own family members, who witnessed the shooting, told investigators that Sauls shot him in the back while Dumas stood still with his hands raised. Sauls gave a different account, saying he was removing a switchblade from Dumas's pocket when Dumas lunged at him and the gun discharged accidentally. A local grand jury declined to indict Sauls later that year, but he was separately tried in federal court under the federal civil rights statute and acquitted in September 1962. Sauls died in 1974. The DOJ's Civil Rights Division reopened the case under its Cold Case Initiative in 2008 and closed it again in 2010."
073,vincent-dahmon,Vincent Dahmon,unsolved,homicide,1966,65,male,Natchez,Adams,MS,2026-08-21,2026-08-21,4,https://www.unsolvedblackcases.com/cases/vincent-dahmon.html,"Vincent Dahmon, 65, of Natchez, was shot and killed by Ku Klux Klan members during the period of the 1966 “March Against Fear,” the roughly 220-mile walk from Memphis, Tennessee to Jackson, Mississippi that James Meredith began to encourage Black voter registration and that continued after he was shot and wounded on its second day. Dahmon's killing first came to the FBI's attention not through a contemporaneous police investigation, but through a 1966 article by Lincoln Lynch, then a national director of the Congress of Racial Equality, describing it to fellow CORE members. No specific suspects were ever identified. When the DOJ's Civil Rights Division reopened the case decades later, the FBI contacted Mississippi state agencies, the Southern Poverty Law Center, the NAACP, the Mississippi Crime Laboratory, and local newspapers, and issued a public press release seeking information; nothing further surfaced, and the case was closed in 2010."
074,jimmie-lee-jackson,Jimmie Lee Jackson,unsolved,homicide,1965,26,male,Marion,Perry,AL,2026-08-21,2026-08-21,4,https://www.unsolvedblackcases.com/cases/jimmie-lee-jackson.html,"Jimmie Lee Jackson, 26, was fatally shot in the abdomen by Alabama State Trooper James Bonard Fowler on the night of February 18, 1965, in Marion, after state troopers broke up a nighttime civil rights march and chased demonstrators into nearby businesses. Jackson had gone into a café trying to protect his mother and elderly grandfather from being beaten by troopers when he was shot at close range; he died eight days later of an abdominal infection from the wound. Fowler was not charged for more than four decades, until a grand jury indicted him for murder in 2007. In 2010, he pleaded guilty to the lesser charge of manslaughter and served roughly six months in jail — the only conviction the Emmett Till Act's cold case review process has produced since the law was signed in 2008. Jackson's death directly inspired the Selma to Montgomery march that began three weeks later, which state troopers violently broke up on the Edmund Pettus Bridge in an event that became known as Bloody Sunday."
075,thomas-brewer,Dr. Thomas Brewer,unsolved,homicide,1956,,male,Columbus,Muscogee,GA,2026-08-21,2026-08-21,4,https://www.unsolvedblackcases.com/cases/thomas-brewer.html,"Dr. Thomas Brewer, a prominent Black physician and founder of the Columbus NAACP chapter, was fatally shot on the evening of February 18, 1956, inside the F&B Department Store owned by Luico Flowers. Tension between the two men had been building for years; Brewer had asked Flowers to report a white police officer's arrest of a Black man in front of Flowers's store as excessive force, which Flowers refused to do, and Brewer had separately threatened to organize a boycott of the store after Flowers declined to support a candidate Brewer favored in a city commission race. Flowers said he shot Brewer when Brewer reached into his pocket as though drawing a gun. The shooting was investigated locally by the Columbus Police Department and presented to a Muscogee County grand jury. No one was ever convicted."
076,ernest-jells,Ernest Jells,unsolved,homicide,1963,21,male,Clarksdale,Coahoma,MS,2026-08-21,2026-08-21,4,https://www.unsolvedblackcases.com/cases/ernest-jells.html,"Ernest Jells, 21, was shot and killed by Clarksdale Police Department Lieutenant Henry Petty and Patrolman B.F. Moore Jr. on September 20, 1963. According to contemporaneous local newspaper coverage, Jells had been accused of trying to steal bananas from a grocery store; the store owner's son confronted him and a scuffle followed, during which officers said Jells reached back as though to grab a weapon. No one was ever charged in connection with his death. The DOJ's Civil Rights Division closed the case in 2010, after confirming both officers were deceased."
077,benjamin-brown,Benjamin Brown,unsolved,homicide,1967,,male,Jackson,Hinds,MS,2026-08-21,2026-08-21,4,https://www.unsolvedblackcases.com/cases/benjamin-brown.html,"Benjamin Brown was fatally shot during unrest connected to a civil rights protest in Jackson on May 11, 1967. Initial eyewitnesses identified Jackson Police Department Major Anthony “Buddy” Kane Sr. as the shooter, while other witnesses said the shooters were not in police uniform but wearing white shirts, pointing toward Mississippi Highway Safety Patrol detectives who were also on the scene that night. A later ballistics analysis found that the buckshot pellets recovered from Brown's fatal head wound and body matched ammunition used by the Highway Safety Patrol, not the type carried by Jackson police, leading investigators to conclude decades later that Brown's shooter was most likely a Highway Safety Patrol officer rather than a city officer, effectively clearing the originally accused JPD officers. No one was ever charged, and all identified subjects were confirmed deceased by the time the DOJ closed the case."
